1,San Jose-Sunnyvale-Santa Clara, CA,95910
2,Albuquerque, NM,87050
3,Tucson, AZ,83150
4,San Francisco-Oakland-Hayward, CA,83120
5,Waterloo-Cedar Falls, IA,83060
6,Columbus, IN,82100
7,Kennewick-Richland, WA,81250
8,Victoria, TX,80680
9,Hagerstown-Martinsburg, MD,80300
10,Tyler, TX,80220
11,Dover, DE,79970
12,Washington-Arlington-Alexandria, DC,79920
13,Baton Rouge, LA,79900
14,Cumberland, MD,78760
15,Boulder, CO,78650
16,San Diego-Carlsbad, CA,78500
17,Albany, OR,78380
18,Midland, TX,78190
19,Corvallis, OR,78110
20,Lake Charles, LA,78000
21,New Orleans-Metairie, LA,78000
22,Boston-Cambridge-Nashua, MA,77660
23,Huntsville, AL,77440
24,Portland-Vancouver-Hillsboro, OR,77400
25,Decatur, AL,77210
26,Bloomington, IL,76720
27,Houston-The Woodlands-Sugar Land, TX,76630
28,Kingsport-Bristol-Bristol, TN,76320
29,Ann Arbor, MI,76210
30,Seattle-Tacoma-Bellevue, WA,76200
31,Santa Cruz-Watsonville, CA,76110
32,Peoria, IL,75970
33,Santa Maria-Santa Barbara, CA,75650
34,Burlington-South Burlington, VT,75380
35,Portsmouth, NH,75310
36,Lima, OH,75300
37,Bridgeport-Stamford-Norwalk, CT,75240
38,Fond du Lac, WI,75160
39,Vallejo-Fairfield, CA,75040
40,Bellingham, WA,74490
41,Amarillo, TX,74440
42,La Crosse-Onalaska, WI,74430
43,Bowling Green, KY,74270
44,Urban Honolulu, HI,74110
45,Madison, WI,73930
46,California-Lexington Park, MD,73880
47,Philadelphia-Camden-Wilmington, PA,73800
48,San Luis Obispo-Paso Robles-Arroyo Grande, CA,73740
49,Clarksville, TN,73440
50,Los Angeles-Long Beach-Anaheim, CA,73250
51,Kokomo, IN,73190
52,Lexington-Fayette, KY,73150
53,Virginia Beach-Norfolk-Newport News, VA,72280
54,Bremerton-Silverdale, WA,71990
55,Sacramento--Roseville--Arden-Arcade, CA,71930
56,Longview, WA,71690
57,Owensboro, KY,71640
58,Bakersfield, CA,71340
59,Sherman-Denison, TX,71110
