1,San Jose-Sunnyvale-Santa Clara, CA,135850
2,San Francisco-Oakland-Hayward, CA,124790
3,Seattle-Tacoma-Bellevue, WA,100510
4,Santa Maria-Santa Barbara, CA,99880
5,Rochester, MN,97780
6,Los Angeles-Long Beach-Anaheim, CA,94840
7,Boulder, CO,94490
8,Napa, CA,91040
9,Yuba City, CA,91010
10,Oxnard-Thousand Oaks-Ventura, CA,90990
11,New Bedford, MA,90730
12,Sacramento--Roseville--Arden-Arcade, CA,90370
13,San Diego-Carlsbad, CA,89440
14,Denver-Aurora-Lakewood, CO,89200
15,Boston-Cambridge-Nashua, MA,89120
16,Durham-Chapel Hill, NC,88540
17,Pittsfield, MA,87790
18,California-Lexington Park, MD,87680
19,Kennewick-Richland, WA,87280
20,Baltimore-Columbia-Towson, MD,87270
21,Anchorage, AK,87260
22,New York-Newark-Jersey City, NY,86310
23,Tucson, AZ,85920
24,Barnstable Town, MA,84700
25,Washington-Arlington-Alexandria, DC,84670
26,Colorado Springs, CO,84260
27,Santa Rosa, CA,83990
28,Bridgeport-Stamford-Norwalk, CT,82600
29,Portsmouth, NH,82390
30,Palm Bay-Melbourne-Titusville, FL,82250
31,Charlotte-Concord-Gastonia, NC,81640
32,Olympia-Tumwater, WA,81630
33,Providence-Warwick, RI,81390
34,Norwich-New London-Westerly, CT,81310
35,Salinas, CA,81250
36,Raleigh, NC,80730
37,Omaha-Council Bluffs, NE,80530
38,Modesto, CA,80430
39,Riverside-San Bernardino-Ontario, CA,80350
40,Visalia-Porterville, CA,80320
41,Manchester, NH,80290
42,Worcester, MA,80270
43,Carson City, NV,80000
44,Minneapolis-St. Paul-Bloomington, MN,79980
45,Bakersfield, CA,79970
46,Bellingham, WA,79860
47,Stockton-Lodi, CA,79860
48,Philadelphia-Camden-Wilmington, PA,79820
49,Richmond, VA,79660
50,Columbus, OH,79630
51,Yakima, WA,79200
52,Salem, OR,78610
53,Vallejo-Fairfield, CA,78590
54,Chicago-Naperville-Elgin, IL,78570
55,Portland-Vancouver-Hillsboro, OR,78540
56,New Orleans-Metairie, LA,78530
57,Redding, CA,78460
58,Burlington, NC,78370
59,Bremerton-Silverdale, WA,78250
60,Springfield, MA,78240
61,Reno, NV,78070
62,Mount Vernon-Anacortes, WA,78050
63,Fort Collins, CO,77930
64,Austin-Round Rock, TX,77600
65,Bend-Redmond, OR,77580
66,Phoenix-Mesa-Scottsdale, AZ,77470
67,Syracuse, NY,77390
68,Dallas-Fort Worth-Arlington, TX,77350
69,Kokomo, IN,77350
70,New Haven, CT,77330
71,Albany, OR,77210
72,Nashville-Davidson--Murfreesboro--Franklin, TN,77160
73,Prescott, AZ,76940
74,Winston-Salem, NC,76940
75,Detroit-Warren-Dearborn, MI,76740
76,Sierra Vista-Douglas, AZ,76680
77,Danbury, CT,76650
78,San Luis Obispo-Paso Robles-Arroyo Grande, CA,76630
79,Vineland-Bridgeton, NJ,76610
80,Charlottesville, VA,76510
81,Greeley, CO,76170
82,Las Vegas-Henderson-Paradise, NV,76170
83,Dover, DE,76150
84,Niles-Benton Harbor, MI,76080
85,Trenton, NJ,75990
86,Atlanta-Sandy Springs-Roswell, GA,75930
87,Santa Cruz-Watsonville, CA,75840
88,Salisbury, MD,75810
89,Hammond, LA,75770
90,Peoria, IL,75220
